"","Conditions","Tube","Count_per_ml","Count_per_fly","Egg","Offspring","Egg_offspring.ratio","ln"
"1","24hours_post_mating",30,16500,8250,60,42,0.7,9.01808968410434
"2","24hours_post_mating",29,17800,8900,46,40,0.869565217,9.09391890895893
"3","24hours_post_mating",28,35600,17800,17,11,0.647058824,9.78700991447743
"4","24hours_post_mating",27,22400,11200,36,29,0.805555556,9.32375833901174
"5","24hours_post_mating",26,145000,72500,51,27,0.529411765,11.1913556338511
"6","24hours_post_mating",25,17800,8900,60,38,0.633333333,9.09391890895893
"7","24hours_post_mating",24,1610000,805000,7,4,0.571428571,13.598598798636
"8","24hours_post_mating",23,42000,21000,59,32,0.542372881,9.95232533461943
"9","24hours_post_mating",22,2540,1270,63,38,0.603174603,7.14755927118945
"10","24hours_post_mating",21,11000,5500,68,53,0.779411765,8.61268517287546
"11","24hours_post_mating",20,3580,1790,64,52,0.8125,7.49052940206071
"12","24hours_post_mating",19,0,0,69,52,0.753623188,0
"13","24hours_post_mating",18,5670,2840,53,31,0.58490566,7.95191138185419
"14","24hours_post_mating",17,7890000,3950000,47,37,0.787234043,15.1892263900418
"15","24hours_post_mating",16,16100,8050,26,18,0.692307692,8.99355158629998
"16","24hours_post_mating",15,39600,19800,27,23,0.851851852,9.8934877204578
"17","24hours_post_mating",14,3660,1830,76,65,0.855263158,7.51261754467451
"18","24hours_post_mating",13,2080,1040,17,8,0.470588235,6.94793706861497
"19","24hours_post_mating",12,39400,19700,32,32,1,9.88842467485908
"20","24hours_post_mating",11,29700,14900,53,32,0.603773585,9.60918360377546
"21","24hours_post_mating",10,8750,4380,26,7,0.269230769,8.3850322878139
"22","24hours_post_mating",9,22600,11300,47,34,0.723404255,9.33264649636015
"23","24hours_post_mating",8,44200,22100,41,18,0.43902439,10.0033781353509
"24","24hours_post_mating",7,3580,1790,25,21,0.84,7.49052940206071
"25","24hours_post_mating",6,3860,1930,13,10,0.769230769,7.56579328242851
"26","24hours_post_mating",5,19400,9700,37,14,0.378378378,9.17998425196128
"27","24hours_post_mating",4,6070,3040,8,1,0.125,8.01994168767737
"28","24hours_post_mating",3,15500,7750,55,36,0.654545455,8.95557714628151
"29","24hours_post_mating",2,33400,16700,26,8,0.307692308,9.72322387685162
"30","24hours_post_mating",1,0,0,20,9,0.45,0
"31","24hours_post_mating",30,800,400,76,64,0.842105263,9.01808968410434
"32","24hours_post_mating",29,31200,15600,28,13,0.464285714,9.09391890895893
"33","24hours_post_mating",28,29700,14850,20,16,0.8,9.78700991447743
"34","24hours_post_mating",27,640,320,80,73,0.9125,9.32375833901174
"35","24hours_post_mating",26,41600,20800,51,42,0.823529412,11.1913556338511
"36","24hours_post_mating",25,12900,6450,29,26,0.896551724,9.09391890895893
"37","24hours_post_mating",24,40500,20250,70,66,0.942857143,13.598598798636
"38","24hours_post_mating",22,3840,1920,69,45,0.652173913,9.95232533461943
"39","24hours_post_mating",21,2500,1250,72,67,0.930555556,7.14755927118945
"40","24hours_post_mating",20,19800,9900,50,20,0.4,8.61268517287546
"41","24hours_post_mating",19,34900,17450,45,36,0.8,7.49052940206071
"42","24hours_post_mating",18,3700,1850,55,50,0.909090909,0
"43","24hours_post_mating",17,2380,1190,71,58,0.816901408,7.95191138185419
"44","24hours_post_mating",16,11700,5850,64,46,0.71875,15.1892263900418
"45","24hours_post_mating",15,18400,9200,36,36,1,8.99355158629998
"46","24hours_post_mating",14,380,190,41,34,0.829268293,9.8934877204578
"47","24hours_post_mating",13,38700,19350,79,71,0.898734177,7.51261754467451
"48","24hours_post_mating",12,2600,1300,42,38,0.904761905,6.94793706861497
"49","24hours_post_mating",10,35000,17500,32,20,0.625,9.88842467485908
"50","24hours_post_mating",9,2600,1300,41,38,0.926829268,9.60918360377546
"51","24hours_post_mating",7,10600,5300,84,72,0.857142857,8.3850322878139
"52","24hours_post_mating",6,17600,8800,89,44,0.494382022,9.33264649636015
"53","24hours_post_mating",5,36900,18450,68,50,0.735294118,10.0033781353509
"54","24hours_post_mating",4,38100,19050,0,0,0,7.49052940206071
"55","24hours_post_mating",3,33200,16600,23,13,0.565217391,7.56579328242851
"56","24hours_post_mating",2,20300,10150,38,31,0.815789474,9.17998425196128
"57","24hours_post_mating",1,5430,2715,56,50,0.892857143,8.01994168767737
"58","24hours_post_mating",23,1630000,815000,40,26,0.65,8.95557714628151
"59","24hours_post_mating",11,425000,212500,27,20,0.740740741,9.72322387685162
"60","24hours_post_mating",8,180000,90000,9,2,0.222222222,0
"61","24hours_post_mating",40,11900,5950,46,41,0.891304348,8.69131455164485
"62","24hours_post_mating",39,19600,9800,36,28,0.777777778,9.19023970026918
"63","24hours_post_mating",38,20,10,63,56,0.888888889,2.39789527279837
"64","24hours_post_mating",37,48000,24000,47,44,0.936170213,10.0858507751287
"65","24hours_post_mating",36,1880,940,17,12,0.705882353,6.84694313958538
"66","24hours_post_mating",35,41800,20900,40,20,0.5,9.94755228369823
"67","24hours_post_mating",34,380,190,37,20,0.540540541,5.25227342804663
"68","24hours_post_mating",33,152000,76000,59,54,0.915254237,11.2385017770766
"69","24hours_post_mating",32,17900,8950,28,25,0.892857143,9.09952053687094
"70","24hours_post_mating",31,160,80,29,14,0.482758621,4.39444915467244
"71","24hours_post_mating",30,47800,23900,86,76,0.88372093,10.0816755780485
"72","24hours_post_mating",29,113000,56500,62,47,0.758064516,10.9420136160929
"73","24hours_post_mating",28,117000,58500,26,7,0.269230769,10.9767991270909
"74","24hours_post_mating",27,46900,23500,54,41,0.759259259,10.0647982524184
"75","24hours_post_mating",26,29200,14600,39,16,0.41025641,9.58884529850156
"76","24hours_post_mating",25,39100,19600,66,59,0.893939394,9.88333586432528
"77","24hours_post_mating",24,21000,10500,52,28,0.538461538,9.25922576970599
"78","24hours_post_mating",23,150000,75000,60,47,0.783333333,11.2252567257629
"79","24hours_post_mating",22,56600,28300,24,7,0.291666667,10.2506524186961
"80","24hours_post_mating",21,2830000,1420000,61,0,0,14.1661681338025
"81","24hours_post_mating",20,1620,810,51,26,0.509803922,6.69826805411541
"82","24hours_post_mating",19,2020,1010,21,11,0.523809524,6.91869521902047
"83","24hours_post_mating",18,66100,33100,48,35,0.729166667,10.4073187723892
"84","24hours_post_mating",17,19100,9550,60,47,0.783333333,9.16440114003474
"85","24hours_post_mating",16,1000,500,83,69,0.831325301,6.21660610108486
"86","24hours_post_mating",15,23700000,11900000,50,47,0.94,16.2920490421154
"87","24hours_post_mating",14,9740,4870,52,43,0.826923077,8.49105453380654
"88","24hours_post_mating",13,65000,32500,10,2,0.2,10.3890261370752
"89","24hours_post_mating",12,440,220,83,57,0.686746988,5.39816270151775
"90","24hours_post_mating",11,620,310,76,66,0.868421053,5.73979291217923
"91","24hours_post_mating",10,80,40,66,60,0.909090909,3.71357206670431
"92","24hours_post_mating",9,10700,5350,43,26,0.604651163,8.5850387383113
"93","24hours_post_mating",8,620,310,64,33,0.515625,5.73979291217923
"94","24hours_post_mating",7,49500,24800,40,39,0.975,10.1186392539208
"95","24hours_post_mating",6,152000,76000,74,56,0.756756757,11.2385017770766
"96","24hours_post_mating",5,2240,1120,0,0,0,7.02197642307216
"97","24hours_post_mating",4,9410,4710,66,52,0.787878788,8.45765547870004
"98","24hours_post_mating",3,21500,10800,67,53,0.791044776,9.28739400141847
"99","24hours_post_mating",2,120000,60000,0,0,0,11.002116507732
"100","24hours_post_mating",1,900,450,60,38,0.633333333,6.11146733950268
